code,text
Unconventional emotion expression,"I didn’t do it for all the 20 countries as I mentioned in my post. It would take too much time :-), but that is the intent."
Asking questions,Do you happen to know if there are any kinds of add-ins to add interactive Flourish (or Tableau) elements into PowerPoint decks?
Negative Deactivating,"Unfortunately I could not find reliable figures for cancer disease in Africa to make a broader comparison, but I believe there are other aspects related to meat production, like chemicals usage, quality of water, etc, that may have an impact on cancer disease;"
Expressing disagreement,"!However, there might be more correlationbetween income and BMI, butit is obscured through outliers (e.g. Polynesia, as you had pointed out)To make the correlation more visible, you may group countries by income size."
Expressing disagreement,Not a good idea to have vertical scroll in an interactive infographic
"Complementing, expressing appreciation",Thanks for sharing.
"Complementing, expressing appreciation",This is impressive
"Complementing, expressing appreciation",I love that it is interactive and that the bubbles expand once hovered over.
Negative Deactivating,I am sorry that the article was behind a paywall.
Negative Deactivating,I don’t think the facets help you
Negative Activating,"I actually tried doing that, but then found out the lines overlapped quite a bit"
Personal advice,you could color them to depict resident/non-resident victims
Personal advice,It would be nice to add photos of number one goods imported from each country
"Complementing, expressing appreciation",Your subject line caught my attention!
"Complementing, expressing appreciation",Thanks for sharing the visualizations!
Self-disclosure & expressing values,"As a Floridian that lives on a pond and .10 miles from undeveloped land, I’m cautious."
Personal advice,Maybe you could add the graph or data you were exploring?
Vocatives (addressing individual),Hi Katica!Thank you!
Personal advice,I would add another chart zooming in on some of the points that you make on increases and decreases.
"Complementing, expressing appreciation",I am fascinated with the focus of your dataviz.
Negative Activating,"In that sense, I wonder now how much people of this 40% would be in a personal or family relationship with others who reached the British nationality status before and what would be their future in the country if it becomes a problem for getting a job, a renting house or medical assistance."
Positive Deactivating,I had no trouble following the story.
Asking questions,"One question that came to my mind is - what is the color encoding in your first chart meant to tell the audience?Do you think that each map needs a separate color, or could you have used the same color scheme?"
"Phatics, salutations and greetings, Social sharing",Hopefully you feel more comfortable working with Flourish and have a better understanding of the types of visualizations to use with various data sets.
Personal advice,It will be perfect if you will have an ability to choose 2 countries
"Phatics, salutations and greetings, Social sharing","Hi Martin, this was a very thorough and thoughtful review."
Positive Activating,theme.
Vocatives (addressing individual),"Great work, Tami!"
"Complementing, expressing appreciation","Great job, an amazing example of what is storytelling."
"Complementing, expressing appreciation",I really like your analysis.
"Complementing, expressing appreciation","Chris, I really loved your work"
Positive Activating,Very interesting
"Phatics, salutations and greetings, Social sharing","Hi Mike,"
Personal advice,I think that it could be interesting make a comparision between the age of the hospitalized people and its diseases
"Phatics, salutations and greetings, Social sharing","Hello Martin,I like your visualizations!"
Negative Deactivating,"Yes I understand. I also had the same problem in iNZigh, so I just gave up and went to Illustrator."
"Complementing, expressing appreciation",Very interesting data.
"Complementing, expressing appreciation",It is very nice to make a graphic and get a meaning.
Negative Deactivating,this is very expensive and demands a lot of work
"Complementing, expressing appreciation",Really like your visualization. I liked that you put the flags in the dots in the import visualization.
Positive Activating,Hope I have managed to explain my point.
Negative Activating,This looks very random and is thus confusing.
Vocatives (addressing individual),"Nice job, Kettki!"
"Complementing, expressing appreciation","Hi Kevin,Thanks for your comments."
Asking questions,what do you think?
Self-disclosure & expressing values,"I took inspiration from the sample chart that already had a lot of """"bubble"""""
"Complementing, expressing appreciation",That is actually a great suggestion!
"Complementing, expressing appreciation",Some excellent insights as well!
Personal advice,with these data I would try to go deeper if the minority genders proportionally need more treatment
Self-disclosure & expressing values,"I don’t know if you know about this datavis, it’s amazing. From 2011, but still my favourite."
"Complementing, expressing appreciation",Your analysis succeeded in finding interesting questions and areas of further exploration: the immigrant schools. Nice job!
Negative Activating,The only thing that was difficult to me when reading the graphics was the order of the countries.
"Complementing, expressing appreciation",Very insightful and informative!
"Complementing, expressing appreciation",Very nice use of the tools.
Self-disclosure & expressing values,As a resident of South Florida I am surprised of the percentage of Florida residents bitten by alligators.
"Complementing, expressing appreciation","The data is also interesting itself, so I appreciate your job."
Negative Activating,"I should explain what Bollywood is, I assumed everyone would know."
Personal advice,Maybe if the graphs were plotted onto a map of Europe one could more easily see the trend
Asking questions,how about for those areas that will be dominated by the senior citizens?
Personal advice,Some little suggestions
Group cohesion,"copyright reasons, the videos are"
Quoting from others' messages & Referring explicitly to others' messages,Thanks to @Matthew Sheffer and @Jonathan Zax for their feedback.
Vocatives (addressing individual),What an
Positive Activating,The topic of data visualization is very interesting.
Quoting from others' messages & Referring explicitly to others' messages,I’m still triggered by Moritz Stefaner with OECD dataset: Happy Life Indexhttp://www.oecdbetterlifeindex.org
Vocatives (addressing individual),Thanks Christopher
"Complementing, expressing appreciation",Your visualization is really fun and educational
Vocatives (addressing individual),"Hi Maria, congratulations for that decision, I know it’s not easy but it’s definitely a sensible action considering the rising population, the Co2 emissions and the lack of resources, among others."
Expressing agreement,"Hi Aleksandra,I agree with all of your ideas."
Personal advice,maybe switch to a bar chart?
Negative Activating,Eastern Europe amount is barely noticeable.
Vocatives (addressing individual),"Hi, Dima --This looks great!"
Personal advice,the next level you may take the story to is explore the reasons on why the trend of gun shooting is going up
Negative Activating,interpretation of the data is always tricky.
Vocatives (addressing individual),"Hello Martin,I like your visualizations!"
"Complementing, expressing appreciation","I loved your work, it looks"
Negative Activating,"I’m sorry, just the colors that I used are red and green.I had not thought about colorblinds"
Personal advice,data nor written information lose prominence.
Positive Activating,I found your topic to be very interesting and I learned something new today.
Positive Activating,The possibilities are endless... :-)
Vocatives (addressing individual),"Hi, Santiago --As has been mentioned, the readership of RS may account for the skew towards the 60s and 70s"
Expressing agreement,"You raise a lot of good points, and I agree that the absolute values rather than percentages is the most important drawback. Percentages would clearly show that the patterns are very similar in the Nordic countries, and also quite similar in the rest of ""the Western world""."
Asking questions,What do you reckon?
Positive Activating,"You already have a great beginning to an interesting and important data journalism article, and I’m looking forward to learn more about these neighborhoods."
Personal advice,"However, maybe I would had liked to see a comparison over the years, to see if it has increased or decreased around the world"
Positive Deactivating,Adding a sidebar actually started to crash my Chrome when completing this.
Unconventional emotion expression,Hope this helps :-)
Positive Activating,"It’s something you always wants to know, but sometimes embarrassing to see what pops up."
"Complementing, expressing appreciation","Hello, Jan. Thank you for your expert view!You have pointed out many interesting thinks that connect with the reality of this particular region."
Quoting from others' messages & Referring explicitly to others' messages,"information is true, and you can find it on the following link: https://datacenter.kidscount.org."
Positive Activating,reader curious to know more about the facts and stories behind the data.
Positive Activating,I’m glad you liked the project!
Personal advice,I would add also that such a map could be improved if made interactive
"Complementing, expressing appreciation","Hi,I admire your work in comparing the data in the different locations across different periods."
Positive Activating,I was very impressed to know that most of the elderly are almost always sad.
Negative Activating,"I’m sorry, English is not my first language and with these technical things it’s sometimes difficult to understand the terms. :)"
"Complementing, expressing appreciation",Great visualization series.
"Complementing, expressing appreciation",Thanks for your input Diego!
"Phatics, salutations and greetings, Social sharing","Hi Luis, I have a couple of suggestions:-"
Asking questions,I wonder if you have the ability to have it auto play at a certain speed?
"Phatics, salutations and greetings, Social sharing","Hi Alexis,I think it’s a good start to a new research."
"Complementing, expressing appreciation",You have excellently deployed all the techniques taught in the course. Bravo!Well done
Positive Activating,"On the whole, though, a thoughtful, thorough, commendable, and inspring introduction to the Israeli government and electorate."
"Complementing, expressing appreciation",Brilliant!
Vocatives (addressing individual),"Brett,For your first visualization (the line graph), did you consider taking the wide ranges and transforming them by giving them some common denominator"
Unconventional emotion expression,Wow!
Negative Activating,if the names of the commodities were not so long I think I would have tried other things first
Personal advice,It will be interesting to explore how the density of multiplex screens has increased as they say India is the most under-screened country
Negative Activating,"The charts are confusing, there are many bars."
"Complementing, expressing appreciation",Those are some exceptional visuals.
"Complementing, expressing appreciation",Awesome Insight into the whats happening over time
Negative Deactivating,I was a bit puzzled how the high numbers were much lower if the data set was limited to the time frame after the expansion of numbers occurred.
"Complementing, expressing appreciation",The data you used and the visualizations you made are really interesting.
Expressing agreement,I agree that having more data would be compelling.
Vocatives (addressing individual),"Hi Matthew,I really appreciate your feedback."
Vocatives (addressing individual),"Hi Paula, thanks for your question!"
Expressing agreement,I agree with your that the small multiple line charts is the best way to visualise the data.
"Complementing, expressing appreciation",Thank you for introducing me to the Lugo region. It looks beautiful.
Positive Activating,I will continue my exploration and get back to you with my results
"Complementing, expressing appreciation",Your project is very clear
"Complementing, expressing appreciation",I love your data choice!
Vocatives (addressing individual),Thanks Diana
Negative Activating,"I realize I wrote more about process than actual observations in my data. This was primarily because there were so many comparisons to draw, it did get confusing, and I wasn’t sure what kind of statement I wanted to make with this particular data set."
Positive Activating,I’m curious to know what if anything surprised you about the findings?
Negative Deactivating,"I’m still working on it, but unfortunately cannot find a good data source to make such comparisons."
"Complementing, expressing appreciation","I like your multiple graphs, it really helped to see each nation on their own."
"Complementing, expressing appreciation","Hi, Annabelle,Congratulations for your story, It’s funny and very informative!"
Personal advice,I see that you started at 70s. Have you think about to separate analysis by decades?
Asking questions,Perhaps it would be appropriate to stack the bars by length?
Expressing agreement,I certainly agree with the other commenter.
Positive Activating,"The question I’d be interested in answering is whether earnings increased or decreased over time for various industry groups--since it’s pretty clear from this visualization that pay generally increased over time for all groups, which clouds some of the gender-specific trends."
Vocatives (addressing individual),"Hello Christopher,What a nice topic"
Positive Activating,"Curious what your level of expertise is with Tableau, and how long this took to create."
Expressing agreement,were more effective than other types of visualizations.
Unconventional emotion expression,"Amazing, did u use jupyter notebook(R or Python)? and pandas? and finally, git? I wonder! I can’t do that with jupyterR pandas!or just edit scrapping your code and write ms word? did u know the GPS key?"
Vocatives (addressing individual),Silvio - I would be interested in seeing the correlation but the link did not work for me.
"Complementing, expressing appreciation",This was a winner.
Positive Activating,Interesting to see the dip in 2013 and 2014 for a many countries.
Personal advice,You might want to consider a legend rather than labelling directly
Asking questions,So maybe looking at a dataset that shows millennial perspectives and finding countries that appear to have gaps?
Negative Activating,Indeed it was not obvious for me which one of charts will represent better data over time
Asking questions,How about simplifying it?
"Complementing, expressing appreciation","interesting and creative theme, even sounds funny"
"Complementing, expressing appreciation","Hi Dima,nice observations!"
Asking questions,"So, is the point of the graphs to show borough attributes or race distinctions?"
Personal advice,the audience to find the countries easier.
Expressing disagreement,"Hi David, I understand your point, and I agree that the ""both"" display is not correct, but I still think that having the average can be interesting."
Expressing agreement,I totally agree with you.
Personal advice,"My suggestion is to order the countries alphabetically, this will help"
"Complementing, expressing appreciation",Thanks Christopher
Vocatives (addressing individual),"Hi Jan, thanks for comment."
"Complementing, expressing appreciation","Hi Yelena,Thanks for your feedback and noting further observations on the graph."
Positive Deactivating,I learned a lot - great topic!
Personal advice,.It would also be interesting to see if location has anything to do with the earning of degrees.
Negative Activating,I agree I think it is confusing.
Positive Activating,I found your World Cup data story to be extremely interesting.
Vocatives (addressing individual),Hi Christopher!Really interesting topic!
"Complementing, expressing appreciation",Thank You for giving response anyway!
Personal advice,how about a scatter plot?
Unconventional emotion expression,"Otherwise, great job! :)"
Personal advice,It’d by nice to see where all the schools in my specific district fall.
Asking questions,did you find any data relating to the size of the schools (number of students) and the results?
Asking questions,"is this list based on """"critical acclaim"""", album sales, or something else?"
Expressing agreement,If the purpose is to see the trends then I agree that adding another set of time plot graphs with the countries trends would help.
Asking questions,I wonder if any custom CSS could accomplish this?
Unconventional emotion expression,I’m from France :)
Addresses or refers to the group using inclusive pronouns (addressing the whole group),"Like many of the commenters here, I am concerned about your color choices."
"Complementing, expressing appreciation",Great topic and awesome work.
"Complementing, expressing appreciation",Thanks Dorris for feedback!
Self-disclosure & expressing values,"I was learning from Flourish as well, but I ended up migrating to Tableou because I had a less daring goal of visualizing data on generosity in the world."
"Complementing, expressing appreciation","Kathleen, thank you very much I really appreciate it!"
Expressing agreement,"Hello Mark,I agree with the problems you identify with this graphic."
Asking questions,What is your thought about this?
Unconventional emotion expression,I have to go back to rewatch the videos to obtain some skills80% preparation???!!!
"Complementing, expressing appreciation",Hi! Thanks for all the feedback Manoj!
Asking questions,Maybe a change in the law/requirements?
Vocatives (addressing individual),"Hi Macarena,Thanks a lot for all your indications."
"Complementing, expressing appreciation","Very interesting visualization, thank you for sharing."
Negative Deactivating,I’m sorry the interactive version did not work for you
Positive Activating,I was curious if I could combine two of the Flourish maps that could do both the bubble data and add the stories that go along with the incidents.
"Complementing, expressing appreciation",I think your design is very clean and I like that it shows Singapore is increasing it’s life expectancy more than a lot of other countries.
Personal advice,but maybe you could use different map? Less colorful?
Vocatives (addressing individual),"Hi, Annabelle,Congratulations for your story"
Positive Activating,Curious to hear your thoughts and improve the viz!
Negative Activating,I had to minimize the information I was using in Inzight so I could manage to create a chart.
"Complementing, expressing appreciation",Well done!
"Complementing, expressing appreciation",This is extremely impressive!
"Complementing, expressing appreciation",Thanks for the great post!
"Complementing, expressing appreciation",I really enjoyed the way you presented your data.
Positive Activating,I wonder if this also say something about the average age of the publication’s readers.
Negative Activating,I lost a perception of a map.
"Complementing, expressing appreciation",Very interesting indeed and generates numerous unfolding correlations and deepening in this discussion!
"Complementing, expressing appreciation",It was very clear and visually atractive.
Unconventional emotion expression,Greetings from your fellow Finn :)
Negative Deactivating,Feeling a bit ashamed now:)
Asking questions,Is there not an option available to exclude the rest of North America on this template?
Positive Activating,These smaller and more concrete topics are perfect for finding a local story that can be actually interesting to read or to see as an infographic for anyone!
Asking questions,Do you know any specific data source?
Positive Activating,There is no doubt that Flourishes extraordinary. It has so many options and visualization looks more attractive and reader-friendly.
Personal advice,"For further analysis at that point, I suggest to look at governmentspends on public security yearly."
Expressing disagreement,I am not sure if average of an index is the best way to show the data although I can see how it could show places with a tendency for being less or more explosive.
Vocatives (addressing individual),"Hi Maseme,You should be proud of yourself."
Asking questions,"Is it the case, or do you have the data, just decided to use them just in words?"
"Phatics, salutations and greetings, Social sharing","Hi Mario,Thats an interesting topic and a very popular one nowadays."
Vocatives (addressing individual),"Hi, Julin.I’m impressed with the whole work"
Expressing disagreement,"However, I think the map is important because it can show the geographic division, with the richer countries on the top left and the poorer on the lower right (except for Australia)."
Negative Deactivating,but the opportunity to customize the templates is very limited.
"Complementing, expressing appreciation","Hi Vlad,What a great work you did."
Positive Activating,"Wow, was Nigeria really second movie producer in the world for a long time? That’s surprising."
Negative Activating,I made a mistake and linked the wrong version of the project.
Expressing agreement,"Yeah, the idea of reported crimes is important here."
Positive Activating,"With the new space force initiative, let’s hope the technology developed in that effort will be used for space exploration and development of products tobenefit humanity, not development of products to wage war fromspace."
Asking questions,What do you think?
Positive Activating,that’s a really interesting path you’ve taken
"Complementing, expressing appreciation","Hi Jan, thanks for comment."
Vocatives (addressing individual),Thanks Dorris for feedback!
Asking questions,But is the last linegraph calculated over All Salmon or just wild salmon?
Vocatives (addressing individual),"Hi Valentina,I really like your use of the borough icons as filters in your dashboards!"
Personal advice,Having the bars staggered by their amounts would also help compare countries.
Personal advice,It might be interesting to also use the map districts to filter the scatterplots.
"Complementing, expressing appreciation","Nice story, really informative and I like the sequence."
Negative Activating,It is hard to tell throughout what point you are trying to make
Vocatives (addressing individual),"Katica, you did a great job!"
Negative Deactivating,I definitely disliked the gender stacking -- my suggestion/improvement included showing each gender separately in different graphs.
Asking questions,Why do we need to see the location of countries in the map?
Addresses or refers to the group using inclusive pronouns (addressing the whole group),"This is amazing, and such an inspiration for the rest of us!"
Negative Deactivating,"Also, I missed charts with death per decades and not only by track."
Asking questions,Have you analysis deaths caused by suicide? Or you related this to something correlated like drugs?
Expressing agreement,I agree with you on the lines.
"Complementing, expressing appreciation",Valentina great work!
"Complementing, expressing appreciation",You described perfectly the importance of the Bollywood film
Vocatives (addressing individual),Valentina great work!
Expressing disagreement,I still think it is unlikely that disease is causing the population decline
Positive Activating,A topic that is of great interest to me!
Personal advice,It would be interesting to use a map of Florida to clearly show where the bites were
"Complementing, expressing appreciation",Thank you all for the constructive positive feedback and sharing your opinion.
"Complementing, expressing appreciation","If I understand your chart, I think you found an interesting way to show timeline, relative rates of disease, and relative numbers of patients. Nice work!"
Asking questions,did you look at using a log transformation so that you could include the big 3?
"Complementing, expressing appreciation",Excellent infographic
Positive Activating,I think you really succeeded in getting people to get a much better grasp of Bollywood in a few quick visual slides
Vocatives (addressing individual),"Hello Gabriela, thank you for your sharing your interesting research."
Asking questions,"Curious what your level of expertise is with Tableau, and how long this took to create."
Asking questions,Did you try switching the type and status colums?
Asking questions,Do you have the link to the dataset?
Expressing disagreement,I don’t think this one graph does your topic justice.
Positive Activating,"Despite this, most of the visualizations in your story helped me understand the system and the balance of power in Israel."
Self-disclosure & expressing values,"I’m love reading about health trends, and seeing how causes of death have changed over the years is interesting."
Negative Activating,A very difficult issue because of the consequences on people.
Asking questions,Do you know why Nigeria stopped being a producer of these films?
Negative Activating,"I can understand why somewhere is happening something, but I cannot use any right data to prove it."
Vocatives (addressing individual),"Hi, Hannie.Still a very relevant insight to explore, unfortunately."
Negative Deactivating,I don’t know.
Positive Activating,Silvio - I would be interested in seeing the correlation but the link did not work for me.
Personal advice,it could be interesting to compare with the population changes in these specific regions.
"Complementing, expressing appreciation","Hello Christopher,What a nice topic. I love rock and roll."
Positive Activating,So I hope this was the right choice?
Unconventional emotion expression,"Hi Takura,WOW."
Asking questions,Is the map necessary? What function does the map have on the original graphic?
Asking questions,Maybe the years that aren’t shown could be there as shadows?
Vocatives (addressing individual),"Hello, Cathleen. Thank you for your response!"
"Complementing, expressing appreciation",Great work !
Asking questions,Do you have the data to do this?
Negative Activating,I struggled to give it good context and colourMore could be done with its features which i did not explore fully
Positive Activating,I should indeed be able to do a separate analysis by decades.
Positive Activating,The movement in the Ukraine was particularly interesting to me
Positive Activating,This is astounding!
Vocatives (addressing individual),"Hi Santiago,Happy to be helpful."
Asking questions,Did you make the map with programming?
"Phatics, salutations and greetings, Social sharing","Hi Chris,I went to the link that you included in your critique."
Unconventional emotion expression,They are too close to each other and they are not the right color for each category. But it needed a lot of work and I’m a lazy one ):
Negative Activating,"2007 is when the U.S stock market crashed, and I wonder if that reduced the amount of giving for some western nations."
Personal advice,It might also be good to focus on the extremes like the Netherlands vs Honduras.
Positive Deactivating,The audience could more easily recognize and understand the man destroy how much badly.
Vocatives (addressing individual),"Hi Donna,your analysis is simple and clear."
"Complementing, expressing appreciation",Thank you Katica
Negative Deactivating,I think the chart you chose makes it harder to understand the finding here.
Negative Deactivating,there are too few possibilities to configure/customise the templates.
Positive Activating,I found it might be an interesting sign for the tourism industry
"Complementing, expressing appreciation",Thanks for exploring so closely!
"Complementing, expressing appreciation","Thanks very much, good to know the data and story is easy to understand"
"Complementing, expressing appreciation",Really great though.
"Complementing, expressing appreciation","Hi Hassel, Thank you for these beautiful graphs."
Vocatives (addressing individual),"Hi, Takura!"
Personal advice,"The one thing I would add is to include the names of the parties along with the logos, for the benefit of those of us who cannot read Hebrew."
Negative Activating,"Ironically, a local radio station here in Colorado was doing a segment on this very topic."
Vocatives (addressing individual),"Hi Arnold,I came to the same conclusion that small multiples was the ideal way to go."
Asking questions,The questions that arise are is it true for race & gender for all level ?
Asking questions,What the biggest differences between these extremes?
"Complementing, expressing appreciation",You’ve used color particularly well.
Asking questions,"Also as ""developing countries"" start to live longer will we see that they will all average out to a limit of human longevity?"
Personal advice,One thing which could be interesting would be to gradually change the color of the region of the map
Expressing agreement,I definitely agree with a map as part of this visualization.
Expressing disagreement,I don’t think people who play the lottery would want to know that is pure hard statistics behind the drawing of the lottery balls!
Positive Activating,I too had some trouble with Flourish. I think your findings are really interesting and I hope you dig deeper!
Vocatives (addressing individual),"Hi Hassel, Thank you for these beautiful graphs."
Asking questions,Do we have the data of cancer disease in African countries?
"Complementing, expressing appreciation",Great work.
"Complementing, expressing appreciation",Good viz. It is nice to see the patterns.
"Complementing, expressing appreciation",you’re crafted a compelling story. Great work!
Negative Activating,One potential problem is that there are musicians who played different genres of music
Positive Activating,I had no idea bollywood movies have such popularity over the world!
Positive Activating,Your choice of x axis variable is interesting.
Unconventional emotion expression,But this is only my perception :)
Unconventional emotion expression,Colorful as the deserts. :-).
Negative Activating,"I wonder if one were to look at the ’basket cases’ of Europe i.e. Ireland, Spain, and Greece who have seen crisis and austerity would the pattern across numerous social measurements be similar? Great stuff.tk"
"Complementing, expressing appreciation","Thanks Meenakshi, great suggestion."
Expressing disagreement,I was also concerned about the colors repeating for different purposes.
Vocatives (addressing individual),"Hi Sergio, thanks for taking time and write."
Positive Activating,it’s amazing how little you need to understand of the actual subject matter to see where there are
Positive Activating,It would be great to compare budget and revenue. I’ll keep looking
Self-disclosure & expressing values,I’ve been to Utrecht one year ago and I stayed into two different hotels. I’m from France :)
Vocatives (addressing individual),"Hey Kathleen, very nice job."
Quoting from others' messages & Referring explicitly to others' messages,"I found a dataset in World Bank too about Health nutrition and population that might help you with the missing information, this is per country and maybe you can add a comparison in the countries you already have and not only information about HIV but also the nutrition the people who has it is getting: https://datacatalog.worldbank.org/dataset/health-nutrition-and-population-statistics-wealth-quintileRegards!"
Personal advice,Exploring more these points could be interesting!
Vocatives (addressing individual),"Hi Charlotte, very interesting topic, you have opened quite a lot the research, spared no effort to understand your data in various ways, this is very cool."
Positive Activating,"I really like your idea for a filter to cut down the distraction, although I am curious as to what that would look like or how that would play out, practically speaking?"
Asking questions,"Was there a rapid increase of jobs created over this period, or are the vacancies due to some other factors?"
Positive Activating,over time.
Negative Activating,I wonder if the improvement also has to do with globalization and the racers and coaches having to be more competitive?
Personal advice,The only minor change I would make to your presentation would be to use the same color
"Complementing, expressing appreciation","Hi, MarioThank you for bringing up here so an important topic."
Vocatives (addressing individual),"Hi Eveline,Great that you have identified an interesting story in Qatar."
"Complementing, expressing appreciation",Thank you for taking this on this topic.
"Complementing, expressing appreciation",Great use of monochromatic as well. Very compelling.
"Complementing, expressing appreciation",I especially like how you used it in the first image to classify a multivariate plot by continent.
"Phatics, salutations and greetings, Social sharing","Hello Tim, I agree with you, the ’both sexes’ looks like superfluous."
Expressing agreement,I agree that even simple graph can yield important conclusions.
"Phatics, salutations and greetings, Social sharing",Hi!
"Phatics, salutations and greetings, Social sharing",Keep going!
Personal advice,"I wonder if it was easy for you to select the information, it seems there are a lot of data about it."
"Complementing, expressing appreciation",I think its a really thorough analysis!
Positive Deactivating,And good to know that more and more people in Spain return to work.
"Complementing, expressing appreciation",Thanks for your feedback.
"Complementing, expressing appreciation","Santiago,I really like that you chose data visualizations that were part of our lecture"
Positive Activating,"I think there should be even better way than those two, but still exploring."
Unconventional emotion expression,My 2 cents :)
"Complementing, expressing appreciation",This is a great topic. I hope you dig deeper with it!
Asking questions,Perhaps there is a way to have a single chart with many lines and as you hover over each one the colors could pop out and highlight the lines?
Asking questions,"Is it to find out which markets are potentially interesting for sponsors, because they combine a large TV audience and a relatively high income?"
"Complementing, expressing appreciation",the time to try to use them.
Negative Activating,My only quibble with the visual is the labels on each line the key on the bottom was enough for me to follow the trends.
"Complementing, expressing appreciation","Annabelle, your story made me smile :-)"
Negative Activating,it seems strange to me that *none* of them are English-language learners.
Positive Activating,Glad to see I wasn’t the only one with a lengthy list. :-)
Negative Activating,I wonder if it would be more informative to show the difference in the percentage of the population instead of the growth rate.
Asking questions,"For your scatter plot idea, how would you define your axes and what if any encoding would you apply to highlight income category, country, and sex?"
Unconventional emotion expression,That’s a very interesting idea :)
"Complementing, expressing appreciation","Hi, Annabelle --I love this!"
Asking questions,did you mention any BollyWood star in the presentation?
Vocatives (addressing individual),Hi Dima.I like this topic that you chose.
Asking questions,Why do you think your colleague found a different average from you?
"Complementing, expressing appreciation","Hello, Felix!I was impressed by this Flourish ability! Very shocking to see their performance and results! Congratulations!"
Vocatives (addressing individual),"Hello Nancy,Thank you for taking time to read my critique, to look at my sketch, and to provide feedback about them."
Self-disclosure & expressing values,I am a big fan of choosing one color and multiple gradients and combining with a grey background.
"Phatics, salutations and greetings, Social sharing","Dear Russ,So important topic!"
Negative Activating,I was also concerned about the colors repeating for different purposes.
Quoting from others' messages & Referring explicitly to others' messages,I agree with one comment regarding the grey text box overlapping the data as being too distracting
"Phatics, salutations and greetings, Social sharing","Hi, Mario."
"Complementing, expressing appreciation",Congratulations for your work and effort.
Addresses or refers to the group using inclusive pronouns (addressing the whole group),I agree with some of the other comments that a good next step would be to investigate the use of color
Unconventional emotion expression,then map would’ve been the best idea. But it’s only my own vision and I don’t think that it is the only one right way to show the story :)
Expressing disagreement,"However, I think they are all too many."
"Phatics, salutations and greetings, Social sharing","Hi Maseme,Very interesting finding, especially when linked to the HIV treatment trend."
Vocatives (addressing individual),"Hi Mario,the graphic you created it is a very interesting starting point for finding correlations between meat consumption and diseases."
Positive Activating,It is interesting that we use similar strategies to present our data.
Expressing agreement,"I also believe the same, a horizontal bar chart would help to better understand this information."
Personal advice,Just two minor nitpicks/questions:
Asking questions,Why is this?
Negative Deactivating,"I’m not happy with the counter on the top either, It doesn’t properly bin (bundle) the cumulative values"
Negative Deactivating,"I think that it could be interesting make a comparision between the age of the hospitalized people and its diseases, but I haven’t find the data."
"Complementing, expressing appreciation",I love the use of animation in this story.
Expressing agreement,"Hi Jaime,I agree that the strings are somewhat distracting from the purpose of the map!"
Negative Activating,I also had some issues with Flourish
"Complementing, expressing appreciation","Your movable timeline idea would be very helpful, I think, because it’s a lot to look at together and that would make it more manageable."
Positive Activating,I’d love to dig into this as well.
Unconventional emotion expression,"Wow, Michael, you picked a different one!"
Positive Activating,Just curious.
Personal advice,"I like your charts, but I would also get rid of the of the year numbers and go for color coded years instead, just to make it look less complicated."
Personal advice,"Its is an interesting subject ,but the map don`t reflects the data clearly ,maybe the information should be presented in other format like a pie chart or bigger sections of the map."
Expressing agreement,I agree I think it is confusing.
"Complementing, expressing appreciation",You did a beautiful job with Tableau!
Vocatives (addressing individual),"Hi David,"
Unconventional emotion expression,Nice one! :)
"Complementing, expressing appreciation",You brought up a great comment about data source that I completely missed.
"Phatics, salutations and greetings, Social sharing","Hi Elena, thanks for your reply."
"Complementing, expressing appreciation",Congratulations on the beautiful work!Thanks for sharing!
Negative Activating,"It seems there are some issues with your submissions, look:"
"Phatics, salutations and greetings, Social sharing","Hi Vlad,What a great work you did."
Negative Deactivating,"I can not see any more regions of Israel, and"
Expressing agreement,"Hi SharonYou are absolutely right about not being able to compare the pie charts, that’s why I made the column carts below."
Positive Activating,"Jorge,That’s an interesting question you decided to investigate here.It made me wondering:Are CO2 emissions lower in the countries where the environmental taxes are higher?"
Expressing agreement,I agree with you.
Expressing disagreement,I have a suspicion your data can change significantly.
Negative Activating,I saw that the information on happiness in this report conflicted with the report of the Gallup International Institute
Negative Activating,"it took me quite some time to realise it, too."
"Complementing, expressing appreciation","Hi Felix,Fantastic job on this!"
Negative Activating,I was wondering - does your data set have time of day for the calls?
Vocatives (addressing individual),"Hi Julian,Congratulations on your great choice of topic and beautiful visualization."
Positive Activating,"While I do have some knowledge of Israel’s multiple-party system, your data story has made things much clearer."
"Complementing, expressing appreciation",This is amazing! It’s interactive and as an informative storyline backed up with very good data.
Unconventional emotion expression,I have not submitted an improvement as you have done and as such consider you more polite and productive than myself . : )
Asking questions,"I mean - is the age matter?You showed us that the number of users increased, do we really need to know it by ages?"
Asking questions,Did you have others questions arising while looking at the data ?
Negative Deactivating,So sad to see no rock artists in the top twenty
Positive Activating,Sankey diagrams always result in the most impressive-looking data visualizations.
Vocatives (addressing individual),Hi Felix
Personal advice,"If you need to do so, it might be better to limit each type of encoding (bars or lines) to a single axis."
"Phatics, salutations and greetings, Social sharing",Good luck
"Complementing, expressing appreciation",I find your visualizations very impressive.
Expressing agreement,Agree with all your points.
Personal advice,I’d also like to filter by genre if I can figure out how to do it
"Complementing, expressing appreciation",Thank you Russ for your graphs and analysis.
Positive Activating,That’s great that this course is so helpful for your work.
Positive Activating,I hope my thought could help.
"Complementing, expressing appreciation",Thanks for the comment!
Unconventional emotion expression,"And not just because my favourite club, Manchester City, was so well represented in the 2018 World Cup. ;-)"
