,code,text,tokens
448,Negative Activating,"i actually tried doing that, but then found out the lines overlapped quite a bit","['i', 'actually', 'tried', 'doing', 'that', 'but', 'then', 'found', 'out', 'the', 'lines', 'overlapped', 'quite', 'a', 'bit']"
449,Personal advice,you could color them to depict resident non resident victims,"['you', 'could', 'color', 'them', 'to', 'depict', 'resident', 'non', 'resident', 'victims']"
450,Personal advice,it would be nice to add photos of number one goods imported from each country,"['it', 'would', 'be', 'nice', 'to', 'add', 'photos', 'of', 'number', 'one', 'goods', 'imported', 'from', 'each', 'country']"
451,"Complementing, expressing appreciation",your subject line caught my attention!,"['your', 'subject', 'line', 'caught', 'my', 'attention']"
452,"Complementing, expressing appreciation",thanks for sharing the visualizations!,"['thanks', 'for', 'sharing', 'the', 'visualizations']"
454,Personal advice,maybe you could add the graph or data you were exploring?,"['maybe', 'you', 'could', 'add', 'the', 'graph', 'or', 'data', 'you', 'were', 'exploring']"
455,Vocatives (addressing individual),hi katica!thank you!,"['hi', 'katica', 'thank', 'you']"
456,Personal advice,i would add another chart zooming in on some of the points that you make on increases and decreases ,"['i', 'would', 'add', 'another', 'chart', 'zooming', 'in', 'on', 'some', 'of', 'the', 'points', 'that', 'you', 'make', 'on', 'increases', 'and', 'decreases']"
457,"Complementing, expressing appreciation",i am fascinated with the focus of your dataviz ,"['i', 'am', 'fascinated', 'with', 'the', 'focus', 'of', 'your', 'dataviz']"
458,Negative Activating,"in that sense, i wonder now how much people of this 40  would be in a personal or family relationship with others who reached the british nationality status before and what would be their future in the country if it becomes a problem for getting a job, a renting house or medical assistance ","['in', 'that', 'sense', 'i', 'wonder', 'now', 'how', 'much', 'people', 'of', 'this', '40', 'would', 'be', 'in', 'a', 'personal', 'or', 'family', 'relationship', 'with', 'others', 'who', 'reached', 'the', 'british', 'nationality', 'status', 'before', 'and', 'what', 'would', 'be', 'their', 'future', 'in', 'the', 'country', 'if', 'it', 'becomes', 'a', 'problem', 'for', 'getting', 'a', 'job', 'a', 'renting', 'house', 'or', 'medical', 'assistance']"
460,Asking questions,"one question that came to my mind is   what is the color encoding in your first chart meant to tell the audience?do you think that each map needs a separate color, or could you have used the same color scheme?","['one', 'question', 'that', 'came', 'to', 'my', 'mind', 'is', 'what', 'is', 'the', 'color', 'encoding', 'in', 'your', 'first', 'chart', 'meant', 'to', 'tell', 'the', 'audience', 'do', 'you', 'think', 'that', 'each', 'map', 'needs', 'a', 'separate', 'color', 'or', 'could', 'you', 'have', 'used', 'the', 'same', 'color', 'scheme']"
462,Personal advice,it will be perfect if you will have an ability to choose 2 countries,"['it', 'will', 'be', 'perfect', 'if', 'you', 'will', 'have', 'an', 'ability', 'to', 'choose', '2', 'countries']"
465,Vocatives (addressing individual),"great work, tami!","['great', 'work', 'tami']"
466,"Complementing, expressing appreciation","great job, an amazing example of what is storytelling ","['great', 'job', 'an', 'amazing', 'example', 'of', 'what', 'is', 'storytelling']"
467,"Complementing, expressing appreciation",i really like your analysis ,"['i', 'really', 'like', 'your', 'analysis']"
468,"Complementing, expressing appreciation","chris, i really loved your work","['chris', 'i', 'really', 'loved', 'your', 'work']"
471,Personal advice,i think that it could be interesting make a comparision between the age of the hospitalized people and its diseases,"['i', 'think', 'that', 'it', 'could', 'be', 'interesting', 'make', 'a', 'comparision', 'between', 'the', 'age', 'of', 'the', 'hospitalized', 'people', 'and', 'its', 'diseases']"
474,"Complementing, expressing appreciation",very interesting data ,"['very', 'interesting', 'data']"
475,"Complementing, expressing appreciation",it is very nice to make a graphic and get a meaning ,"['it', 'is', 'very', 'nice', 'to', 'make', 'a', 'graphic', 'and', 'get', 'a', 'meaning']"
477,"Complementing, expressing appreciation",really like your visualization  i liked that you put the flags in the dots in the import visualization ,"['really', 'like', 'your', 'visualization', 'i', 'liked', 'that', 'you', 'put', 'the', 'flags', 'in', 'the', 'dots', 'in', 'the', 'import', 'visualization']"
479,Negative Activating,this looks very random and is thus confusing ,"['this', 'looks', 'very', 'random', 'and', 'is', 'thus', 'confusing']"
480,Vocatives (addressing individual),"nice job, kettki!","['nice', 'job', 'kettki']"
481,"Complementing, expressing appreciation","hi kevin,thanks for your comments ","['hi', 'kevin', 'thanks', 'for', 'your', 'comments']"
482,Asking questions,what do you think?,"['what', 'do', 'you', 'think']"
484,"Complementing, expressing appreciation",that is actually a great suggestion!,"['that', 'is', 'actually', 'a', 'great', 'suggestion']"
485,"Complementing, expressing appreciation",some excellent insights as well!,"['some', 'excellent', 'insights', 'as', 'well']"
486,Personal advice,with these data i would try to go deeper if the minority genders proportionally need more treatment,"['with', 'these', 'data', 'i', 'would', 'try', 'to', 'go', 'deeper', 'if', 'the', 'minority', 'genders', 'proportionally', 'need', 'more', 'treatment']"
488,"Complementing, expressing appreciation",your analysis succeeded in finding interesting questions and areas of further exploration  the immigrant schools  nice job!,"['your', 'analysis', 'succeeded', 'in', 'finding', 'interesting', 'questions', 'and', 'areas', 'of', 'further', 'exploration', 'the', 'immigrant', 'schools', 'nice', 'job']"
489,Negative Activating,the only thing that was difficult to me when reading the graphics was the order of the countries ,"['the', 'only', 'thing', 'that', 'was', 'difficult', 'to', 'me', 'when', 'reading', 'the', 'graphics', 'was', 'the', 'order', 'of', 'the', 'countries']"
490,"Complementing, expressing appreciation",very insightful and informative!,"['very', 'insightful', 'and', 'informative']"
491,"Complementing, expressing appreciation",very nice use of the tools ,"['very', 'nice', 'use', 'of', 'the', 'tools']"
493,"Complementing, expressing appreciation","the data is also interesting itself, so i appreciate your job ","['the', 'data', 'is', 'also', 'interesting', 'itself', 'so', 'i', 'appreciate', 'your', 'job']"
494,Negative Activating,"i should explain what bollywood is, i assumed everyone would know ","['i', 'should', 'explain', 'what', 'bollywood', 'is', 'i', 'assumed', 'everyone', 'would', 'know']"
495,Personal advice,maybe if the graphs were plotted onto a map of europe one could more easily see the trend,"['maybe', 'if', 'the', 'graphs', 'were', 'plotted', 'onto', 'a', 'map', 'of', 'europe', 'one', 'could', 'more', 'easily', 'see', 'the', 'trend']"
496,Asking questions,how about for those areas that will be dominated by the senior citizens?,"['how', 'about', 'for', 'those', 'areas', 'that', 'will', 'be', 'dominated', 'by', 'the', 'senior', 'citizens']"
497,Personal advice,some little suggestions,"['some', 'little', 'suggestions']"
500,Vocatives (addressing individual),what an,"['what', 'an']"
503,Vocatives (addressing individual),thanks christopher,"['thanks', 'christopher']"
504,"Complementing, expressing appreciation",your visualization is really fun and educational,"['your', 'visualization', 'is', 'really', 'fun', 'and', 'educational']"
505,Vocatives (addressing individual),"hi maria, congratulations for that decision, i know it s not easy but it s definitely a sensible action considering the rising population, the co2 emissions and the lack of resources, among others ","['hi', 'maria', 'congratulations', 'for', 'that', 'decision', 'i', 'know', 'it', 's', 'not', 'easy', 'but', 'it', 's', 'definitely', 'a', 'sensible', 'action', 'considering', 'the', 'rising', 'population', 'the', 'co2', 'emissions', 'and', 'the', 'lack', 'of', 'resources', 'among', 'others']"
507,Personal advice,maybe switch to a bar chart?,"['maybe', 'switch', 'to', 'a', 'bar', 'chart']"
508,Negative Activating,eastern europe amount is barely noticeable ,"['eastern', 'europe', 'amount', 'is', 'barely', 'noticeable']"
509,Vocatives (addressing individual),"hi, dima   this looks great!","['hi', 'dima', 'this', 'looks', 'great']"
510,Personal advice,the next level you may take the story to is explore the reasons on why the trend of gun shooting is going up,"['the', 'next', 'level', 'you', 'may', 'take', 'the', 'story', 'to', 'is', 'explore', 'the', 'reasons', 'on', 'why', 'the', 'trend', 'of', 'gun', 'shooting', 'is', 'going', 'up']"
511,Negative Activating,interpretation of the data is always tricky ,"['interpretation', 'of', 'the', 'data', 'is', 'always', 'tricky']"
512,Vocatives (addressing individual),"hello martin,i like your visualizations!","['hello', 'martin', 'i', 'like', 'your', 'visualizations']"
513,"Complementing, expressing appreciation","i loved your work, it looks","['i', 'loved', 'your', 'work', 'it', 'looks']"
514,Negative Activating,"i m sorry, just the colors that i used are red and green i had not thought about colorblinds","['i', 'm', 'sorry', 'just', 'the', 'colors', 'that', 'i', 'used', 'are', 'red', 'and', 'green', 'i', 'had', 'not', 'thought', 'about', 'colorblinds']"
515,Personal advice,data nor written information lose prominence ,"['data', 'nor', 'written', 'information', 'lose', 'prominence']"
518,Vocatives (addressing individual),"hi, santiago   as has been mentioned, the readership of rs may account for the skew towards the 60s and 70s","['hi', 'santiago', 'as', 'has', 'been', 'mentioned', 'the', 'readership', 'of', 'rs', 'may', 'account', 'for', 'the', 'skew', 'towards', 'the', '60s', 'and', '70s']"
520,Asking questions,what do you reckon?,"['what', 'do', 'you', 'reckon']"
522,Personal advice,"however, maybe i would had liked to see a comparison over the years, to see if it has increased or decreased around the world","['however', 'maybe', 'i', 'would', 'had', 'liked', 'to', 'see', 'a', 'comparison', 'over', 'the', 'years', 'to', 'see', 'if', 'it', 'has', 'increased', 'or', 'decreased', 'around', 'the', 'world']"
526,"Complementing, expressing appreciation","hello, jan  thank you for your expert view!you have pointed out many interesting thinks that connect with the reality of this particular region ","['hello', 'jan', 'thank', 'you', 'for', 'your', 'expert', 'view', 'you', 'have', 'pointed', 'out', 'many', 'interesting', 'thinks', 'that', 'connect', 'with', 'the', 'reality', 'of', 'this', 'particular', 'region']"
530,Personal advice,i would add also that such a map could be improved if made interactive,"['i', 'would', 'add', 'also', 'that', 'such', 'a', 'map', 'could', 'be', 'improved', 'if', 'made', 'interactive']"
531,"Complementing, expressing appreciation","hi,i admire your work in comparing the data in the different locations across different periods ","['hi', 'i', 'admire', 'your', 'work', 'in', 'comparing', 'the', 'data', 'in', 'the', 'different', 'locations', 'across', 'different', 'periods']"
533,Negative Activating,"i m sorry, english is not my first language and with these technical things it s sometimes difficult to understand the terms   )","['i', 'm', 'sorry', 'english', 'is', 'not', 'my', 'first', 'language', 'and', 'with', 'these', 'technical', 'things', 'it', 's', 'sometimes', 'difficult', 'to', 'understand', 'the', 'terms']"
534,"Complementing, expressing appreciation",great visualization series ,"['great', 'visualization', 'series']"
535,"Complementing, expressing appreciation",thanks for your input diego!,"['thanks', 'for', 'your', 'input', 'diego']"
537,Asking questions,i wonder if you have the ability to have it auto play at a certain speed?,"['i', 'wonder', 'if', 'you', 'have', 'the', 'ability', 'to', 'have', 'it', 'auto', 'play', 'at', 'a', 'certain', 'speed']"
539,"Complementing, expressing appreciation",you have excellently deployed all the techniques taught in the course  bravo!well done,"['you', 'have', 'excellently', 'deployed', 'all', 'the', 'techniques', 'taught', 'in', 'the', 'course', 'bravo', 'well', 'done']"
541,"Complementing, expressing appreciation",brilliant!,['brilliant']
542,Vocatives (addressing individual),"brett,for your first visualization (the line graph), did you consider taking the wide ranges and transforming them by giving them some common denominator","['brett', 'for', 'your', 'first', 'visualization', 'the', 'line', 'graph', 'did', 'you', 'consider', 'taking', 'the', 'wide', 'ranges', 'and', 'transforming', 'them', 'by', 'giving', 'them', 'some', 'common', 'denominator']"
544,Negative Activating,if the names of the commodities were not so long i think i would have tried other things first,"['if', 'the', 'names', 'of', 'the', 'commodities', 'were', 'not', 'so', 'long', 'i', 'think', 'i', 'would', 'have', 'tried', 'other', 'things', 'first']"
545,Personal advice,it will be interesting to explore how the density of multiplex screens has increased as they say india is the most under screened country,"['it', 'will', 'be', 'interesting', 'to', 'explore', 'how', 'the', 'density', 'of', 'multiplex', 'screens', 'has', 'increased', 'as', 'they', 'say', 'india', 'is', 'the', 'most', 'under', 'screened', 'country']"
546,Negative Activating,"the charts are confusing, there are many bars ","['the', 'charts', 'are', 'confusing', 'there', 'are', 'many', 'bars']"
547,"Complementing, expressing appreciation",those are some exceptional visuals ,"['those', 'are', 'some', 'exceptional', 'visuals']"
548,"Complementing, expressing appreciation",awesome insight into the whats happening over time,"['awesome', 'insight', 'into', 'the', 'whats', 'happening', 'over', 'time']"
550,"Complementing, expressing appreciation",the data you used and the visualizations you made are really interesting ,"['the', 'data', 'you', 'used', 'and', 'the', 'visualizations', 'you', 'made', 'are', 'really', 'interesting']"
552,Vocatives (addressing individual),"hi matthew,i really appreciate your feedback ","['hi', 'matthew', 'i', 'really', 'appreciate', 'your', 'feedback']"
553,Vocatives (addressing individual),"hi paula, thanks for your question!","['hi', 'paula', 'thanks', 'for', 'your', 'question']"
555,"Complementing, expressing appreciation",thank you for introducing me to the lugo region  it looks beautiful ,"['thank', 'you', 'for', 'introducing', 'me', 'to', 'the', 'lugo', 'region', 'it', 'looks', 'beautiful']"
557,"Complementing, expressing appreciation",your project is very clear,"['your', 'project', 'is', 'very', 'clear']"
558,"Complementing, expressing appreciation",i love your data choice!,"['i', 'love', 'your', 'data', 'choice']"
559,Vocatives (addressing individual),thanks diana,"['thanks', 'diana']"
560,Negative Activating,"i realize i wrote more about process than actual observations in my data  this was primarily because there were so many comparisons to draw, it did get confusing, and i wasn t sure what kind of statement i wanted to make with this particular data set ","['i', 'realize', 'i', 'wrote', 'more', 'about', 'process', 'than', 'actual', 'observations', 'in', 'my', 'data', 'this', 'was', 'primarily', 'because', 'there', 'were', 'so', 'many', 'comparisons', 'to', 'draw', 'it', 'did', 'get', 'confusing', 'and', 'i', 'wasn', 't', 'sure', 'what', 'kind', 'of', 'statement', 'i', 'wanted', 'to', 'make', 'with', 'this', 'particular', 'data', 'set']"
563,"Complementing, expressing appreciation","i like your multiple graphs, it really helped to see each nation on their own ","['i', 'like', 'your', 'multiple', 'graphs', 'it', 'really', 'helped', 'to', 'see', 'each', 'nation', 'on', 'their', 'own']"
564,"Complementing, expressing appreciation","hi, annabelle,congratulations for your story, it s funny and very informative!","['hi', 'annabelle', 'congratulations', 'for', 'your', 'story', 'it', 's', 'funny', 'and', 'very', 'informative']"
565,Personal advice,i see that you started at 70s  have you think about to separate analysis by decades?,"['i', 'see', 'that', 'you', 'started', 'at', '70s', 'have', 'you', 'think', 'about', 'to', 'separate', 'analysis', 'by', 'decades']"
566,Asking questions,perhaps it would be appropriate to stack the bars by length?,"['perhaps', 'it', 'would', 'be', 'appropriate', 'to', 'stack', 'the', 'bars', 'by', 'length']"
569,Vocatives (addressing individual),"hello christopher,what a nice topic","['hello', 'christopher', 'what', 'a', 'nice', 'topic']"
573,Vocatives (addressing individual),silvio   i would be interested in seeing the correlation but the link did not work for me ,"['silvio', 'i', 'would', 'be', 'interested', 'in', 'seeing', 'the', 'correlation', 'but', 'the', 'link', 'did', 'not', 'work', 'for', 'me']"
574,"Complementing, expressing appreciation",this was a winner ,"['this', 'was', 'a', 'winner']"
576,Personal advice,you might want to consider a legend rather than labelling directly,"['you', 'might', 'want', 'to', 'consider', 'a', 'legend', 'rather', 'than', 'labelling', 'directly']"
577,Asking questions,so maybe looking at a dataset that shows millennial perspectives and finding countries that appear to have gaps?,"['so', 'maybe', 'looking', 'at', 'a', 'dataset', 'that', 'shows', 'millennial', 'perspectives', 'and', 'finding', 'countries', 'that', 'appear', 'to', 'have', 'gaps']"
578,Negative Activating,indeed it was not obvious for me which one of charts will represent better data over time,"['indeed', 'it', 'was', 'not', 'obvious', 'for', 'me', 'which', 'one', 'of', 'charts', 'will', 'represent', 'better', 'data', 'over', 'time']"
579,Asking questions,how about simplifying it?,"['how', 'about', 'simplifying', 'it']"
580,"Complementing, expressing appreciation","interesting and creative theme, even sounds funny","['interesting', 'and', 'creative', 'theme', 'even', 'sounds', 'funny']"
581,"Complementing, expressing appreciation","hi dima,nice observations!","['hi', 'dima', 'nice', 'observations']"
582,Asking questions,"so, is the point of the graphs to show borough attributes or race distinctions?","['so', 'is', 'the', 'point', 'of', 'the', 'graphs', 'to', 'show', 'borough', 'attributes', 'or', 'race', 'distinctions']"
583,Personal advice,the audience to find the countries easier ,"['the', 'audience', 'to', 'find', 'the', 'countries', 'easier']"
586,Personal advice,"my suggestion is to order the countries alphabetically, this will help","['my', 'suggestion', 'is', 'to', 'order', 'the', 'countries', 'alphabetically', 'this', 'will', 'help']"
587,"Complementing, expressing appreciation",thanks christopher,"['thanks', 'christopher']"
588,Vocatives (addressing individual),"hi jan, thanks for comment ","['hi', 'jan', 'thanks', 'for', 'comment']"
589,"Complementing, expressing appreciation","hi yelena,thanks for your feedback and noting further observations on the graph ","['hi', 'yelena', 'thanks', 'for', 'your', 'feedback', 'and', 'noting', 'further', 'observations', 'on', 'the', 'graph']"
591,Personal advice, it would also be interesting to see if location has anything to do with the earning of degrees ,"['it', 'would', 'also', 'be', 'interesting', 'to', 'see', 'if', 'location', 'has', 'anything', 'to', 'do', 'with', 'the', 'earning', 'of', 'degrees']"
592,Negative Activating,i agree i think it is confusing ,"['i', 'agree', 'i', 'think', 'it', 'is', 'confusing']"
594,Vocatives (addressing individual),hi christopher!really interesting topic!,"['hi', 'christopher', 'really', 'interesting', 'topic']"
595,"Complementing, expressing appreciation",thank you for giving response anyway!,"['thank', 'you', 'for', 'giving', 'response', 'anyway']"
596,Personal advice,how about a scatter plot?,"['how', 'about', 'a', 'scatter', 'plot']"
598,Personal advice,it d by nice to see where all the schools in my specific district fall ,"['it', 'd', 'by', 'nice', 'to', 'see', 'where', 'all', 'the', 'schools', 'in', 'my', 'specific', 'district', 'fall']"
599,Asking questions,did you find any data relating to the size of the schools (number of students) and the results?,"['did', 'you', 'find', 'any', 'data', 'relating', 'to', 'the', 'size', 'of', 'the', 'schools', 'number', 'of', 'students', 'and', 'the', 'results']"
600,Asking questions,"is this list based on """"critical acclaim"""", album sales, or something else?","['is', 'this', 'list', 'based', 'on', 'critical', 'acclaim', 'album', 'sales', 'or', 'something', 'else']"
602,Asking questions,i wonder if any custom css could accomplish this?,"['i', 'wonder', 'if', 'any', 'custom', 'css', 'could', 'accomplish', 'this']"
605,"Complementing, expressing appreciation",great topic and awesome work ,"['great', 'topic', 'and', 'awesome', 'work']"
606,"Complementing, expressing appreciation",thanks dorris for feedback!,"['thanks', 'dorris', 'for', 'feedback']"
608,"Complementing, expressing appreciation","kathleen, thank you very much i really appreciate it!","['kathleen', 'thank', 'you', 'very', 'much', 'i', 'really', 'appreciate', 'it']"
610,Asking questions,what is your thought about this?,"['what', 'is', 'your', 'thought', 'about', 'this']"
612,"Complementing, expressing appreciation",hi! thanks for all the feedback manoj!,"['hi', 'thanks', 'for', 'all', 'the', 'feedback', 'manoj']"
613,Asking questions,maybe a change in the law requirements?,"['maybe', 'a', 'change', 'in', 'the', 'law', 'requirements']"
614,Vocatives (addressing individual),"hi macarena,thanks a lot for all your indications ","['hi', 'macarena', 'thanks', 'a', 'lot', 'for', 'all', 'your', 'indications']"
615,"Complementing, expressing appreciation","very interesting visualization, thank you for sharing ","['very', 'interesting', 'visualization', 'thank', 'you', 'for', 'sharing']"
618,"Complementing, expressing appreciation",i think your design is very clean and i like that it shows singapore is increasing it s life expectancy more than a lot of other countries ,"['i', 'think', 'your', 'design', 'is', 'very', 'clean', 'and', 'i', 'like', 'that', 'it', 'shows', 'singapore', 'is', 'increasing', 'it', 's', 'life', 'expectancy', 'more', 'than', 'a', 'lot', 'of', 'other', 'countries']"
619,Personal advice,but maybe you could use different map? less colorful?,"['but', 'maybe', 'you', 'could', 'use', 'different', 'map', 'less', 'colorful']"
620,Vocatives (addressing individual),"hi, annabelle,congratulations for your story","['hi', 'annabelle', 'congratulations', 'for', 'your', 'story']"
622,Negative Activating,i had to minimize the information i was using in inzight so i could manage to create a chart ,"['i', 'had', 'to', 'minimize', 'the', 'information', 'i', 'was', 'using', 'in', 'inzight', 'so', 'i', 'could', 'manage', 'to', 'create', 'a', 'chart']"
623,"Complementing, expressing appreciation",well done!,"['well', 'done']"
624,"Complementing, expressing appreciation",this is extremely impressive!,"['this', 'is', 'extremely', 'impressive']"
625,"Complementing, expressing appreciation",thanks for the great post!,"['thanks', 'for', 'the', 'great', 'post']"
626,"Complementing, expressing appreciation",i really enjoyed the way you presented your data ,"['i', 'really', 'enjoyed', 'the', 'way', 'you', 'presented', 'your', 'data']"
628,Negative Activating,i lost a perception of a map ,"['i', 'lost', 'a', 'perception', 'of', 'a', 'map']"
629,"Complementing, expressing appreciation",very interesting indeed and generates numerous unfolding correlations and deepening in this discussion!,"['very', 'interesting', 'indeed', 'and', 'generates', 'numerous', 'unfolding', 'correlations', 'and', 'deepening', 'in', 'this', 'discussion']"
630,"Complementing, expressing appreciation",it was very clear and visually atractive ,"['it', 'was', 'very', 'clear', 'and', 'visually', 'atractive']"
633,Asking questions,is there not an option available to exclude the rest of north america on this template?,"['is', 'there', 'not', 'an', 'option', 'available', 'to', 'exclude', 'the', 'rest', 'of', 'north', 'america', 'on', 'this', 'template']"
635,Asking questions,do you know any specific data source?,"['do', 'you', 'know', 'any', 'specific', 'data', 'source']"
637,Personal advice,"for further analysis at that point, i suggest to look at governmentspends on public security yearly ","['for', 'further', 'analysis', 'at', 'that', 'point', 'i', 'suggest', 'to', 'look', 'at', 'governmentspends', 'on', 'public', 'security', 'yearly']"
639,Vocatives (addressing individual),"hi maseme,you should be proud of yourself ","['hi', 'maseme', 'you', 'should', 'be', 'proud', 'of', 'yourself']"
640,Asking questions,"is it the case, or do you have the data, just decided to use them just in words?","['is', 'it', 'the', 'case', 'or', 'do', 'you', 'have', 'the', 'data', 'just', 'decided', 'to', 'use', 'them', 'just', 'in', 'words']"
642,Vocatives (addressing individual),"hi, julin i m impressed with the whole work","['hi', 'julin', 'i', 'm', 'impressed', 'with', 'the', 'whole', 'work']"
645,"Complementing, expressing appreciation","hi vlad,what a great work you did ","['hi', 'vlad', 'what', 'a', 'great', 'work', 'you', 'did']"
647,Negative Activating,i made a mistake and linked the wrong version of the project ,"['i', 'made', 'a', 'mistake', 'and', 'linked', 'the', 'wrong', 'version', 'of', 'the', 'project']"
650,Asking questions,what do you think?,"['what', 'do', 'you', 'think']"
652,"Complementing, expressing appreciation","hi jan, thanks for comment ","['hi', 'jan', 'thanks', 'for', 'comment']"
653,Vocatives (addressing individual),thanks dorris for feedback!,"['thanks', 'dorris', 'for', 'feedback']"
654,Asking questions,but is the last linegraph calculated over all salmon or just wild salmon?,"['but', 'is', 'the', 'last', 'linegraph', 'calculated', 'over', 'all', 'salmon', 'or', 'just', 'wild', 'salmon']"
655,Vocatives (addressing individual),"hi valentina,i really like your use of the borough icons as filters in your dashboards!","['hi', 'valentina', 'i', 'really', 'like', 'your', 'use', 'of', 'the', 'borough', 'icons', 'as', 'filters', 'in', 'your', 'dashboards']"
656,Personal advice,having the bars staggered by their amounts would also help compare countries ,"['having', 'the', 'bars', 'staggered', 'by', 'their', 'amounts', 'would', 'also', 'help', 'compare', 'countries']"
657,Personal advice,it might be interesting to also use the map districts to filter the scatterplots ,"['it', 'might', 'be', 'interesting', 'to', 'also', 'use', 'the', 'map', 'districts', 'to', 'filter', 'the', 'scatterplots']"
658,"Complementing, expressing appreciation","nice story, really informative and i like the sequence ","['nice', 'story', 'really', 'informative', 'and', 'i', 'like', 'the', 'sequence']"
659,Negative Activating,it is hard to tell throughout what point you are trying to make,"['it', 'is', 'hard', 'to', 'tell', 'throughout', 'what', 'point', 'you', 'are', 'trying', 'to', 'make']"
660,Vocatives (addressing individual),"katica, you did a great job!","['katica', 'you', 'did', 'a', 'great', 'job']"
662,Asking questions,why do we need to see the location of countries in the map?,"['why', 'do', 'we', 'need', 'to', 'see', 'the', 'location', 'of', 'countries', 'in', 'the', 'map']"
665,Asking questions,have you analysis deaths caused by suicide? or you related this to something correlated like drugs?,"['have', 'you', 'analysis', 'deaths', 'caused', 'by', 'suicide', 'or', 'you', 'related', 'this', 'to', 'something', 'correlated', 'like', 'drugs']"
667,"Complementing, expressing appreciation",valentina great work!,"['valentina', 'great', 'work']"
668,"Complementing, expressing appreciation",you described perfectly the importance of the bollywood film,"['you', 'described', 'perfectly', 'the', 'importance', 'of', 'the', 'bollywood', 'film']"
669,Vocatives (addressing individual),valentina great work!,"['valentina', 'great', 'work']"
672,Personal advice,it would be interesting to use a map of florida to clearly show where the bites were,"['it', 'would', 'be', 'interesting', 'to', 'use', 'a', 'map', 'of', 'florida', 'to', 'clearly', 'show', 'where', 'the', 'bites', 'were']"
673,"Complementing, expressing appreciation",thank you all for the constructive positive feedback and sharing your opinion ,"['thank', 'you', 'all', 'for', 'the', 'constructive', 'positive', 'feedback', 'and', 'sharing', 'your', 'opinion']"
674,"Complementing, expressing appreciation","if i understand your chart, i think you found an interesting way to show timeline, relative rates of disease, and relative numbers of patients  nice work!","['if', 'i', 'understand', 'your', 'chart', 'i', 'think', 'you', 'found', 'an', 'interesting', 'way', 'to', 'show', 'timeline', 'relative', 'rates', 'of', 'disease', 'and', 'relative', 'numbers', 'of', 'patients', 'nice', 'work']"
675,Asking questions,did you look at using a log transformation so that you could include the big 3?,"['did', 'you', 'look', 'at', 'using', 'a', 'log', 'transformation', 'so', 'that', 'you', 'could', 'include', 'the', 'big', '3']"
676,"Complementing, expressing appreciation",excellent infographic,"['excellent', 'infographic']"
678,Vocatives (addressing individual),"hello gabriela, thank you for your sharing your interesting research ","['hello', 'gabriela', 'thank', 'you', 'for', 'your', 'sharing', 'your', 'interesting', 'research']"
679,Asking questions,"curious what your level of expertise is with tableau, and how long this took to create ","['curious', 'what', 'your', 'level', 'of', 'expertise', 'is', 'with', 'tableau', 'and', 'how', 'long', 'this', 'took', 'to', 'create']"
680,Asking questions,did you try switching the type and status colums?,"['did', 'you', 'try', 'switching', 'the', 'type', 'and', 'status', 'colums']"
681,Asking questions,do you have the link to the dataset?,"['do', 'you', 'have', 'the', 'link', 'to', 'the', 'dataset']"
685,Negative Activating,a very difficult issue because of the consequences on people ,"['a', 'very', 'difficult', 'issue', 'because', 'of', 'the', 'consequences', 'on', 'people']"
686,Asking questions,do you know why nigeria stopped being a producer of these films?,"['do', 'you', 'know', 'why', 'nigeria', 'stopped', 'being', 'a', 'producer', 'of', 'these', 'films']"
687,Negative Activating,"i can understand why somewhere is happening something, but i cannot use any right data to prove it ","['i', 'can', 'understand', 'why', 'somewhere', 'is', 'happening', 'something', 'but', 'i', 'cannot', 'use', 'any', 'right', 'data', 'to', 'prove', 'it']"
688,Vocatives (addressing individual),"hi, hannie still a very relevant insight to explore, unfortunately ","['hi', 'hannie', 'still', 'a', 'very', 'relevant', 'insight', 'to', 'explore', 'unfortunately']"
691,Personal advice,it could be interesting to compare with the population changes in these specific regions ,"['it', 'could', 'be', 'interesting', 'to', 'compare', 'with', 'the', 'population', 'changes', 'in', 'these', 'specific', 'regions']"
692,"Complementing, expressing appreciation","hello christopher,what a nice topic  i love rock and roll ","['hello', 'christopher', 'what', 'a', 'nice', 'topic', 'i', 'love', 'rock', 'and', 'roll']"
695,Asking questions,is the map necessary? what function does the map have on the original graphic?,"['is', 'the', 'map', 'necessary', 'what', 'function', 'does', 'the', 'map', 'have', 'on', 'the', 'original', 'graphic']"
696,Asking questions,maybe the years that aren t shown could be there as shadows?,"['maybe', 'the', 'years', 'that', 'aren', 't', 'shown', 'could', 'be', 'there', 'as', 'shadows']"
697,Vocatives (addressing individual),"hello, cathleen  thank you for your response!","['hello', 'cathleen', 'thank', 'you', 'for', 'your', 'response']"
698,"Complementing, expressing appreciation",great work !,"['great', 'work']"
699,Asking questions,do you have the data to do this?,"['do', 'you', 'have', 'the', 'data', 'to', 'do', 'this']"
700,Negative Activating,i struggled to give it good context and colourmore could be done with its features which i did not explore fully,"['i', 'struggled', 'to', 'give', 'it', 'good', 'context', 'and', 'colourmore', 'could', 'be', 'done', 'with', 'its', 'features', 'which', 'i', 'did', 'not', 'explore', 'fully']"
704,Vocatives (addressing individual),"hi santiago,happy to be helpful ","['hi', 'santiago', 'happy', 'to', 'be', 'helpful']"
705,Asking questions,did you make the map with programming?,"['did', 'you', 'make', 'the', 'map', 'with', 'programming']"
